pub_id  	msc_num
42069537	98671
42069542	98672
42069547	98673
42069552	98674
42069557	98675
42084649	101782
42084669	101788
43764682	112950
42084675	113240
43772347	170744
43337345	175606
43064848	224222
43064853	224223
43064858	224224
43765615	233698
43765610	233699
43765605	233700
43765599	261148
43765594	261150
43765589	261151
43765584	261152
43765579	261153
43765574	261154
42040337	10000233
42040515	10000309
42079131	10000312
42090459	10000445
42079114	10000682
43330961	10001076
43330979	10001077
43330984	10001078
42085851	10001319
42040352	10001322
42102092	10001459
42102098	10001461
42090927	10001677
42040354	10001687
42085864	10001741
42040366	10001833
42040384	10001868
42040454	10001907
43100115	10001974
43064865	10002226
43092868	10002227
42067330	10002491
42236860	10002492
43397603	10002504
43217186	10002585
43329333	10002697
42040646	10002750
42084554	10002871
42040727	10002926
43397606	10003087
42040773	10003235
42084502	10003769
42079640	10004228
43330989	10004350
43213586	10004362
43332597	10004363
43329475	10004365
43332602	10004367
43503904	10004585
42067379	10005265
43522246	10005269
43522189	10005270
43332607	10005493
42067391	10005495
42067385	10005535
43329338	10005740
42079121	10005992
42040398	10005998
42040413	10006593
43772361	10006766
42040446	10006834
42040371	10006835
42101545	10006871
42101542	10006883
43772368	10006912
42079126	10007025
43526582	10007798
43739969	10007799
43461877	10007800
43087356	10008111
42040380	10008238
43115797	10008379
43175901	10008379
43739981	10008514
42040731	10008655
43772375	10008664
43158423	10009079
43772382	10009691
42040596	10009764
42040640	10009765
42040406	10009781
42040389	10009782
42079109	10009925
43332617	10009929
43247586	10009930
43158397	10009932
43330228	10009933
48506844	10009943
43053195	10009959
43335309	10009960
43336068	10009961
43329245	10009962
43337361	10009963
42040599	10010169
43329344	10010657
43478497	10010659
43329354	10010662
43522134	10010665
43053200	10010978
43217110	10011052
43158407	10011053
43107992	10011055
43100121	10011056
43337366	10011057
43115802	10011058
43167025	10011059
43772352	10011143
43765569	10011144
43772342	10011145
43772337	10011146
43772332	10011147
43772316	10011148
43217115	10011158
43183041	10011159
43475140	10011160
42040416	10011240
42067335	10011243
43332622	10011410
43329287	10011411
43372259	10011420
43337645	10011421
42101733	10011565
42101730	10011571
43064879	10011759
43176339	10011760
43336073	10011761
43329261	10011762
43335554	10011763
43337610	10011764
43183046	10011765
43336078	10011766
43335375	10011767
43336083	10011768
43522194	10012031
42040434	10012034
43332627	10012043
43092842	10012044
43092847	10012045
43064885	10012046
43475150	10012047
42079167	10012374
42040506	10012399
42040508	10012401
42040498	10012525
42101785	10012714
42101795	10012823
42101847	10012986
42101884	10013272
42040473	10013301
42040758	10013302
42040762	10013339
42040767	10013566
42090456	10013567
42067357	10013568
42067373	10013569
42067346	10013580
42067351	10013581
42079162	10013586
42080191	10013693
42080196	10013694
43765618	10013771
42116507	10013779
42073613	10014023
42080116	10014207
42102163	10014286
42102191	10014520
43144628	10014535
43144633	10014536
42040511	10014541
43764677	10015069
43764672	10015071
43765563	10015072
43338093	10015075
43334797	10015076
43526587	10015079
43075679	10015080
43329515	10015081
43329624	10015082
43334802	10015083
42040519	10015217
42040459	10015220
43158412	10015250
43183028	10015251
43337615	10015252
43337621	10015253
43337627	10015254
43337072	10015255
43337633	10015256
43338126	10015257
43650459	10015309
42040616	10015342
42040502	10015343
42040361	10015406
42079136	10015448
42084590	10015463
42079211	10015483
42040480	10015484
42079206	10015485
42079172	10015602
43526557	10015723
43324187	10015725
42109208	10015748
43364856	10015762
43144638	10015802
43176344	10015803
43115819	10015804
42079152	10015928
42040449	10015938
42040629	10015939
42040375	10015940
42084857	10015948
42040342	10015982
42040620	10015984
42079157	10016073
43764646	10016171
43764641	10016172
42040524	10016193
42040477	10016399
42040662	10016501
42040671	10016502
42040690	10016542
42040820	10016696
42040695	10016698
42040699	10016700
42086021	10016724
42040704	10016728
42040824	10016752
43382756	10016761
43372248	10016762
43337078	10016763
42040713	10016810
42040709	10016886
42040720	10017010
43760537	10017113
43760532	10017114
43760527	10017115
43760563	10017116
43760558	10017117
42040744	10017308
42084505	10017309
42040735	10017503
42040747	10017504
42040750	10017505
42040754	10017506
42067645	10017514
42067651	10017515
43372212	10017577
43338951	10017578
43329359	10017740
43338946	10017741
43742868	10017754
43742863	10017755
43760521	10017756
43338133	10017962
43336661	10017994
43338362	10017995
43336670	10017996
42067555	10018001
42084523	10018030
42040838	10018041
42067561	10018121
43364846	10018217
43742837	10018295
43739997	10018296
43739992	10018297
42040845	10018541
42040842	10018694
43338932	10018883
43338702	10018884
43217121	10018885
43329374	10018927
42040802	10018959
42040805	10018960
43760516	10019043
43755064	10019044
43755059	10019045
43742832	10019046
43742827	10019047
43338651	10019058
43330215	10019059
43336655	10019060
43367902	10019062
42079147	10019110
43144650	10019239
43739959	10019631
43739954	10019633
43742857	10019634
43739948	10019635
43739986	10019636
43645664	10019637
43645659	10019638
43645654	10019639
43598631	10019640
43598603	10019641
42040636	10019736
42040469	10019845
42040602	10019911
42040643	10019912
42040493	10019913
42040632	10019914
42079201	10020014
43739964	10020201
43338403	10020202
43217169	10020203
43092881	10020204
43126350	10020205
43092853	10020206
43126355	10020207
43126360	10020209
43115824	10020210
42040421	10020521
43367844	10020592
43338386	10020593
43372253	10020594
43391501	10020649
42040657	10020888
43372224	10020922
43372243	10020924
43338368	10020926
42109241	10020936
43598598	10021023
43580172	10021024
43565517	10021025
43565507	10021026
43565502	10021027
43565497	10021028
43565512	10021029
42040667	10021554
42040675	10021555
42040679	10021556
42040683	10021557
42040346	10021626
43087318	10022115
43115829	10022116
43079523	10022117
43079506	10022118
43324197	10022120
43115813	10022122
43158402	10022161
43336088	10022215
43274297	10022351
43274331	10022352
43367863	10022353
43565491	10025477
43522180	10025478
43522175	10025479
42040686	10025811
42040828	10026637
43193311	10026662
43274341	10026664
43364851	10026670
43100157	10026671
43158418	10026672
43100152	10026673
43064891	10026674
42109244	10027098
42109274	10027110
43329521	10027381
43151769	10027396
43137598	10027398
43330244	10027399
43765558	10027435
43338138	10027742
43338121	10027743
42116397	10028038
42116400	10028039
42109400	10028040
42116430	10028041
42116458	10028042
42116461	10028043
42116476	10028045
42116485	10028046
42109295	10028048
42116495	10028049
42116504	10028051
42109307	10028052
42116516	10028054
42109436	10028055
42116549	10028056
42125337	10028057
42852225	10028064
42125343	10028065
42126049	10028066
42126823	10028068
42126826	10028069
42126915	10028075
42126936	10028077
42127059	10028078
42127062	10028079
42127230	10028080
43003971	10028081
43329266	10028882
43075673	10028883
43337057	10028884
43329271	10028885
43336287	10028886
43337052	10028887
43003968	10028931
43021651	10028932
43024981	10028933
43239681	10028934
43045287	10028935
43336685	10028958
43337047	10028959
43335352	10028960
43045290	10028981
43079495	10028982
43079446	10028983
43045277	10028984
43337605	10029001
43337392	10029002
43337387	10029003
43329470	10029004
43144644	10029015
43337356	10029016
43391506	10029017
43045313	10029045
43053221	10029046
43329277	10029133
43335340	10029134
43337351	10029135
43503964	10029185
43504052	10029186
43504022	10029187
43503762	10029188
43503959	10029189
43778983	10029190
43334855	10029553
43329379	10029554
43335314	10029555
43334866	10029556
43329293	10029590
43337067	10029591
43466804	10029641
43522145	10029793
43522140	10029794
43183012	10030048
43126386	10030049
43335335	10030050
43183051	10030051
43176349	10030052
43137603	10030053
43079500	10030054
43335321	10030055
43334817	10030056
43217174	10030057
43334812	10030058
43504057	10030180
43503954	10030181
43504072	10030182
43504067	10030183
43504062	10030185
43509586	10030187
43522162	10030188
43522157	10030189
43565486	10030196
43548498	10030197
43548493	10030198
43535411	10030199
43539892	10030200
43539887	10030201
43530177	10030202
43530165	10030203
43526631	10030204
43526626	10030205
43526621	10030206
43526616	10030207
43526598	10030208
43526593	10030209
43337062	10030214
43336680	10030215
43336675	10030216
43336245	10030217
43335549	10030218
43335518	10030219
43335493	10030220
43335363	10030221
43335358	10030222
43334877	10030415
43334832	10030416
43334827	10030417
43334822	10030419
43330250	10030420
43285821	10030536
43217180	10030537
43330278	10030538
43334807	10030540
43305044	10030541
43217205	10030542
43079443	10030544
43053177	10030545
43025000	10030548
43035085	10030550
43053174	10030553
43035091	10030554
